"Frist Name","Last Name","Hire Date"
"Shiv","Karner","7/8/1986"
"Halsur","Chiola","2/2/1986"
"Rildo","Seuren","4/8/1986"
"Shridhar","Benzaken","7/3/1986"
"Yinlin","Wilfing","7/7/1986"
"Owen","Snedden","4/9/1986"
"Arup","Lovengreen","5/3/1986"
"Steen","Snyers","4/9/1986"
"Genevieve","Eiter","1/4/1986"
"Zhanqiu","Dichev","3/2/1986"
"Goo","Debuse","5/1/1986"
"Doowon","Oberman","9/8/1986"
"Toshimori","Matzen","7/6/1986"
"DAIDA","Pehl","7/6/1986"
"Abdulah","Feldhoffer","6/1/1986"
"Heekeun","Winter","6/9/1986"
"Arfst","Suessmith","9/1/1986"
"Boguslaw","Fandrianto","3/6/1986"
"Saddek","Isaak","6/7/1986"
"Tadanori","Vural","2/7/1986"
"Uri","Asmuth","1/1/1986"
"Xiaopeng","Marchesini","3/8/1986"
"Fumino","Serra","9/9/1986"
"Seongbin","Kinley","7/3/1986"
"Murthy","Luca","6/5/1986"
"Nectarios","Monarch","5/7/1986"
"Yucai","Thimonier","7/8/1986"
"Kagan","Collette","4/7/1986"
"Siamak","Thibadeau","5/7/1986"
"Masaru","Gecseg","8/9/1986"
"Hitomi","Masand","2/7/1986"
"Jasminko","Nicolson","8/2/1986"
"Mara","Lukaszewicz","1/8/1986"
"Teiji","Herbst","6/4/1986"
"Munehiro","Docker","4/7/1986"
"Lenore","Birsak","5/9/1986"
"Leen","Siochi","2/1/1986"
"Uri","Oxman","9/8/1986"
"Arunas","Reistad","9/1/1986"
"Phuoc","Peron","3/6/1986"
"Guozhong","Ballarin","5/1/1986"
"Kiyotoshi","Huxford","9/7/1986"
"Xiaoqiu","Goodrum","4/6/1986"
"Shushma","Stasinski","8/8/1986"
"Mario","Orlowska","1/1/1986"
"Randi","Passafiume","7/7/1986"
"Junsik","Orsini","7/2/1986"
"Seongbae","Dengi","5/2/1986"
"Hausi","Lampe","8/2/1986"
"Ennio","Gruenwald","7/3/1986"
"Martijn","Conti","4/6/1986"
"Lalit","Bhattacharjee","9/7/1986"
"Kannan","Sgarro","8/6/1986"
"Tetsushi","Fetvedt","2/3/1986"
"Yishai","Kushner","7/2/1986"
"Maren","Kobara","2/7/1986"
"Marie","Zaumen","1/9/1986"
"Odysseas","Kropf","2/8/1986"
"Mohua","Passafiume","4/9/1986"
"Navin","Spieker","8/2/1986"
"Mohua","Biran","4/6/1986"
"Taiji","Rathonyi","6/4/1986"
"Kauko","Kusakabe","2/3/1986"
"Niranjan","Maraist","3/5/1986"
"Shay","Pashtan","8/7/1986"
"Etsuo","Biros","6/9/1986"
"Ulf","Denis","3/1/1986"
"Henk","Pokrovskii","4/4/1986"
"Shooichi","Masada","6/5/1986"
"Josyula","Stifter","5/3/1986"
"Souichi","Hanabata","9/2/1986"
"Francesca","Rathonyi","1/4/1986"
"Along","Olano","5/4/1986"
"Jahangir","Miyakawa","1/3/1986"
"Valeska","Improta","6/6/1986"
"Sanjai","Bhattacharjee","3/2/1986"
"Limsoon","Krichel","2/8/1986"
"Unal","Binding","6/2/1986"
"Frazer","Litvinov","1/2/1986"
"Tua","Peris","8/5/1986"
"Torsten","Gips","2/6/1986"
"Adam","Lung","7/2/1986"
"Adly","Gecsei","1/8/1986"
"Kazuhiko","Genin","7/7/1986"
"Lech","Melichar","9/4/1986"
"Takushi","Harnett","9/3/1986"
"Serenella","Akazan","3/3/1986"
"Garnet","Kamble","5/6/1986"
"Vatsa","Rothe","3/2/1986"
"Lucien","Zedlitz","5/8/1986"
"Chiradeep","Cools","6/2/1986"
"Duke","Zuberek","3/6/1986"
"Fumiyo","Levasseur","3/6/1986"
"Udi","Soicher","2/9/1986"
"Achilleas","Speer","2/4/1986"
"Aleksandar","Melter","1/8/1986"
"Ghassan","Furudate","9/4/1986"
"Ioana","Kalafatis","7/2/1986"
"Nahum","Pargas","8/1/1986"
"Huai","Bottner","4/9/1986"
"Gudjon","Parfitt","8/4/1986"
"Sedat","Oaver","9/9/1986"
"Jeane","Pettis","2/7/1986"
"Remmert","Vieri","2/9/1986"
"Chenyi","Ramalingam","1/9/1986"
"Ult","Schach","4/4/1986"
"Neven","Savasere","6/5/1986"
"Tooru","Hagimont","5/6/1986"
"Clyde","Riexinger","5/9/1986"
"Alejandro","Carrera","6/4/1986"
"Subhada","Munawer","3/8/1986"
"Huei","Gewali","7/3/1986"
"Brigham","Pollock","9/5/1986"
"Vojin","Anick","9/4/1986"
"Yakkov","Backhouse","3/9/1986"
"Halsur","Encarnacion","7/8/1986"
"Satyanarayana","Rabejac","9/9/1986"
"Alenka","Baba","9/6/1986"
"Arve","Figueira","2/5/1986"
"Fumino","Schahn","9/9/1986"
"Heejo","Vanwelkenhuysen","8/3/1986"
"Heng","Sooriamurthi","3/5/1986"
"Nechama","Erez","7/8/1986"
"Zvonko","Gente","8/8/1986"
"Quingbo","Maliniak","4/6/1986"
"Domenick","Roisin","4/2/1986"
"Ingmar","Fabrizio","4/3/1986"
"Lunjin","Siepmann","1/7/1986"
"Manibrata","Stiles","1/1/1986"
"Jamaludin","Scharstein","1/5/1986"
"Joydip","Stamatiou","6/1/1986"
"Sanjit","Preusig","6/6/1986"
"Baziley","Guenter","8/6/1986"
"Adas","Nitto","3/8/1986"
"Yinghua","Ibel","1/6/1986"
"Keiichiro","Papsdorf","9/8/1986"
"Aamer","Gammage","8/4/1986"
"Youpyo","Schiper","2/1/1986"
"Mohammad","Denos","4/9/1986"
"Georgi","Daescu","2/6/1986"
"Khun","Spinelli","4/5/1986"
"Mario","Rande","4/1/1986"
"Giordano","Salverda","5/6/1986"
"Shigeo","Gonthier","2/5/1986"
"Adin","Flanders","9/2/1986"
"Dekang","Terekhov","8/6/1986"
"Kwok","Auyong","1/7/1986"
"Huiqun","Yeung","5/1/1986"
"Zhigen","Goodrum","8/8/1986"
"DeForest","Denti","5/2/1986"
"Yagil","Ventosa","8/5/1986"
"Hinrich","Akaboshi","4/2/1986"
"Venkatesan","Staelin","8/4/1986"
"Sven","Walston","7/6/1986"
"Jasminko","Shihab","7/5/1986"
"Moon","Ozeri","9/4/1986"
"Kenton","Matteis","1/9/1986"
"Francoise","Birch","4/4/1986"
"Weiru","Koshiba","2/8/1986"
"Kish","Perelgut","4/1/1986"
"Herbert","Atrawala","5/2/1986"
"Teruyuki","Zultner","3/8/1986"
"Golgen","Rabejac","1/4/1986"
"Lenore","Kieras","9/2/1986"
"Guadalupe","Zirintsis","4/1/1986"
"Emran","Delgrange","5/9/1986"
"Aiichiro","Lundstrom","2/2/1986"
"Aloke","Glinert","1/3/1986"
"Aiman","Suppi","5/4/1986"
"Iara","Heinisuo","5/2/1986"
"Howell","Renear","5/6/1986"
"Renny","Harllee","4/4/1986"
"Phuoc","Thorensen","6/7/1986"
"Sugwoo","Swiler","3/2/1986"
"Doohun","Sidje","6/6/1986"
"Ymte","Lammel","8/6/1986"
"Gregory","Sluis","7/4/1986"
"Lech","Stiles","6/1/1986"
"Udi","Pileggi","4/7/1986"
"Tesuya","Ambroszkiewicz","8/5/1986"
"Junichi","Piazza","4/3/1986"
"Luise","Szemeredi","1/9/1986"
"Keiichiro","Rettelbach","1/9/1986"
"Elrique","Strooper","6/9/1986"
"Sadun","Peltason","5/1/1986"
"Suzette","Gerteisen","3/9/1986"
"Ziyad","Gecsei","3/9/1986"
"Hidde","Birke","3/2/1986"
"Isaac","Legleitner","3/4/1986"
"Oksana","Constantine","8/8/1986"
"Uzi","Schaaf","8/6/1986"
"Giri","Collette","8/5/1986"
"Shai","Azevdeo","3/1/1986"
"Ziyad","Birge","1/5/1986"
"Subhankar","Zolotykh","2/5/1986"
"Gunilla","Pileggi","3/7/1986"
"Remzi","Mitzlaff","4/6/1986"
"Takanari","Stentiford","1/3/1986"
"Katsuyuki","Cmelik","9/9/1986"
"Ravishankar","Savasere","9/4/1986"
"Pragnesh","Baig","8/7/1986"
"Gaetan","Etalle","4/9/1986"
"Trygve","Rodham","9/8/1986"
"Eckart","Brattka","6/6/1986"
"Sailaja","Vesna","9/3/1986"
"Heon","Rodite","8/8/1986"
"Mona","Zirintsis","5/6/1986"
"Gila","Clouatre","9/6/1986"
"Jamaludin","Varman","4/9/1986"
"Elliott","Peres","9/1/1986"
"Michaela","Tsukuda","5/7/1986"
"Vishu","Genther","9/7/1986"
"Munenori","Nivat","4/9/1986"
"Rosli","Tibblin","1/4/1986"
"Nalini","Rosin","6/7/1986"
"Zorica","Maginnis","2/3/1986"
"Taegyun","Zschoche","2/4/1986"
"Wonhee","Uhrig","8/8/1986"
"Bernt","Menyhert","1/6/1986"
"Sarita","Stenning","9/2/1986"
"Percy","Gerlach","7/7/1986"
"Kristen","Walstra","9/3/1986"
"Zine","Schwaller","5/7/1986"
"Kazunori","Heiserman","8/9/1986"
"Tran","Koyama","9/1/1986"
"Sanjay","Servieres","1/1/1986"
"Marie","Kushner","7/7/1986"
"Wojceich","Yoshizawa","5/4/1986"
"Jayesh","Schrift","4/5/1986"
"Francesca","Shigei","5/4/1986"
"Mahendra","Champarnaud","2/2/1986"
"Remzi","Harllee","8/6/1986"
"Berto","Rabejac","8/7/1986"
"Shin","Rodier","6/6/1986"
"Toshimitsu","Ozeri","8/9/1986"
"Suzette","Hinsberger","8/7/1986"
"Franziska","Iivonen","2/1/1986"
"Lenore","Hanratty","6/8/1986"
"Tomokazu","Furudate","1/6/1986"
"Phuoc","Gruenwald","1/5/1986"
"Amstein","Nilsson","8/6/1986"
"Berhard","Daescu","1/8/1986"
"Zita","Shobatake","1/1/1986"
"Kaijung","Walstra","4/4/1986"
"Gudjon","Ertl","9/1/1986"
"Inderjeet","Eiter","2/5/1986"
"Iara","Breugel","6/2/1986"
"Jayesh","Hedayat","4/8/1986"
"Udi","Delaune","3/4/1986"
"Adil","Ghemri","2/8/1986"
"Sachio","Pocchiola","3/2/1986"
"Lunjin","Demeyer","6/5/1986"
"Rafail","Gniady","7/3/1986"
"Arve","Benaini","4/7/1986"
"Aksel","Munawer","5/7/1986"
"Xiaoshan","Rahier","2/2/1986"
"Kazuhisa","Demke","7/9/1986"
"Oscal","Farrag","8/4/1986"
"Satyanarayana","Rosar","5/7/1986"
"Navin","Chenoweth","6/9/1986"
"Nahla","Rosaz","1/4/1986"
"Isamu","Cooke","5/6/1986"
"Taiji","Rajala","1/3/1986"
"Noritoshi","Pero","2/4/1986"
"Halsur","Krychniak","8/2/1986"
"Aria","Emmart","6/3/1986"
"Caolyn","Gewali","7/9/1986"
"Guoxiang","Hennings","7/2/1986"
"Maren","Lichtner","3/5/1986"
"Jaideep","Schlegelmilch","3/4/1986"
"Chuanyi","Smailagic","8/4/1986"
"Martien","Msuda","3/2/1986"
"Susumu","Maraist","4/1/1986"
"Takahiro","Bernatsky","3/5/1986"
"Mototsugu","Gini","6/4/1986"
"Marlo","Zaiane","2/6/1986"
"Srinidhi","Ramsak","2/5/1986"
"Luerbio","Cromarty","9/2/1986"
"Adam","Copas","3/3/1986"
"Along","Schiper","4/2/1986"
"Susanne","Hennings","3/4/1986"
"Aloys","Senzako","2/3/1986"
"Spyrose","Nations","1/5/1986"
"Changho","Pettey","9/7/1986"
"Lidong","Ebeling","9/9/1986"
"Adamantios","Hatcliff","7/3/1986"
"Jacopo","Buescher","2/6/1986"
"Torsten","Lodder","6/5/1986"
"Nevin","Matzel","4/9/1986"
"Berna","Kalsbeek","6/9/1986"
"Oscal","Mahmud","4/1/1986"
"Alexius","Kampfer","7/3/1986"
"Zhonghui","Bugaenko","4/2/1986"
"Waiman","Ventosa","2/1/1986"
"Mads","Picco","1/7/1986"
"Heping","Hempstead","6/2/1986"
"Sumant","Hainaut","4/8/1986"
"Syozo","Conry","7/9/1986"
"Percy","Iivonen","6/5/1986"
"Somnath","Schneeberger","2/4/1986"
"Jianhua","Gecsei","3/5/1986"
"Navid","Woycyznski","1/9/1986"
"Takushi","Polajnar","4/6/1986"
"Boutros","Atchley","8/8/1986"
"Neelam","Calkin","1/4/1986"
"Denis","Maginnis","6/8/1986"
"Harjit","Axelband","5/9/1986"
"Yechezkel","Remmele","5/2/1986"
"Toshiko","Honiden","8/8/1986"
"Mary","Callaway","9/8/1986"
"Morris","Gopalakrishnan","5/9/1986"
"Rimli","Steenbeek","9/2/1986"
"Tonia","Cronin","3/3/1986"
"Randi","Mattern","5/8/1986"
"Ugo","Emiris","6/8/1986"
"Remko","Farris","2/3/1986"
"Lein","Roisin","5/8/1986"
"Bouchung","Belinskaya","7/8/1986"
"Kristine","Murillo","6/6/1986"
"Rosine","Dulin","8/2/1986"
"Cristinel","Ghelli","1/5/1986"
"Hyuckchul","Nitto","1/3/1986"
"Mayuri","Ratnakar","3/3/1986"
"Conor","Birrer","6/5/1986"
"Emdad","Gammage","2/7/1986"
"Magdalena","Dayana","3/8/1986"
"Shuji","Brodal","7/1/1986"
"Goh","Cmelik","6/4/1986"
"Bernt","Uhrik","2/9/1986"
"Lalit","Wolniewicz","6/7/1986"
"Val","Pargaonkar","2/6/1986"
"Uma","Klerer","5/4/1986"
"Mircea","Ishibashi","3/9/1986"
"Honesty","Raoux","7/8/1986"
"Erzsebet","Heinisuo","8/8/1986"
"Vishu","Kumaresan","5/3/1986"
"Fumiya","Basart","6/8/1986"
"Francesca","Ghalwash","7/4/1986"
"Duri","Kalloufi","2/3/1986"
"Sailaja","Luon","1/5/1986"
"Shem","Grospietsch","6/1/1986"
"Oscar","Picaronny","5/2/1986"
"Fumiyo","Birch","6/2/1986"
"Geoff","Kuszyk","5/9/1986"
"Mansur","Demizu","7/8/1986"
"Fumino","Kandlur","3/4/1986"
"Christfried","Ossenbruggen","7/8/1986"
"Arfst","Toyoshima","5/8/1986"
"Sarita","Tsukune","2/2/1986"
"Charlene","Figueira","5/1/1986"
"Chirstian","Nishimukai","7/4/1986"
"Alair","Jakobus","5/1/1986"
"Boalin","Schaaf","6/7/1986"
"Conal","Hoogerwoord","6/9/1986"
"Paris","Swift","4/5/1986"
"Billur","Eiter","2/8/1986"
"Leif","Wrigley","1/6/1986"
"Akeno","Yetto","1/8/1986"
"Shao","Brattka","1/9/1986"
"Bojan","Sabnani","8/7/1986"
"Zhensheng","Loncour","1/6/1986"
"Janalee","Domenig","5/7/1986"
"Ronnie","Peris","6/6/1986"
"Lucian","Kleiser","9/7/1986"
"Kersti","Tsukune","8/9/1986"
"Roddy","Walstra","4/9/1986"
"Duke","Murthy","3/7/1986"
"Zhonghui","Heuser","4/8/1986"
"Shirish","Burnard","1/4/1986"
"Rayond","Peac","4/5/1986"
"Martine","Kambil","5/6/1986"
"Hugo","Pietracaprina","1/2/1986"
"Mona","Maccarone","2/6/1986"
"Venkatesan","Ozery","8/1/1986"
"Saniya","Lanphier","1/1/1986"
"Vincent","Haddadi","4/5/1986"
"Ute","Melichar","2/9/1986"
"Collette","Plump","5/2/1986"
"Mohamadou","Zeilberger","8/7/1986"
"Mayumi","Walston","6/3/1986"
"Giordano","Panangaden","3/4/1986"
"Junsik","Gente","2/1/1986"
"Marla","Verspoor","9/3/1986"
"Dulce","Constantine","6/7/1986"
"Shakhar","Rissland","6/6/1986"
"George","Borovoy","1/3/1986"
"Chenye","Lorho","7/9/1986"
"Petter","Schlenzig","9/5/1986"
"Muneo","Ghelli","6/1/1986"
"Toney","Kropatsch","9/9/1986"
"Xudong","Tanemo","5/1/1986"
"Niranjan","Uchoa","8/5/1986"
"Ewing","Simkin","7/5/1986"
"Mandell","Ranon","7/1/1986"
"Kitty","Boissier","5/8/1986"
"Gunilla","Ishibashi","4/3/1986"
"Gift","Rosin","4/7/1986"
"Duri","Pettey","2/8/1986"
"Youngkon","Skrikant","1/8/1986"
"Alselm","Harnett","3/3/1986"
"Garnik","Ushiama","6/1/1986"
"Kenton","Rijckaert","9/5/1986"
"Tomofumi","Auria","8/1/1986"
"Eirik","Kisuki","8/6/1986"
"Haldun","Sessa","5/1/1986"
"Muneo","Khamsi","3/4/1986"
"Salvador","Matteis","9/1/1986"
"Stein","Pashtan","9/7/1986"
"Gina","Rattan","6/7/1986"
"Menkae","Sankaranarayanan","2/9/1986"
"Udaiprakash","Takkinen","9/8/1986"
"Jaewon","Krohm","7/8/1986"
"Khaled","Cherinka","7/9/1986"
"Shay","Wissmann","4/8/1986"
"Boalin","Lorys","6/4/1986"
"Caolyn","Sullins","3/1/1986"
"Lobel","Comte","1/7/1986"
"Kauko","Pelz","2/9/1986"
"Giao","Lamma","7/5/1986"
"Harngdar","Moehrke","3/2/1986"
"Ziva","Falco","1/3/1986"
"Ayakannu","Deyuan","9/6/1986"
"Shuky","Kalafatis","8/9/1986"
"Ulises","Passafiume","2/9/1986"
"Yaghout","Byoun","9/3/1986"
"Yurij","Chaudhuri","3/5/1986"
"Tommaso","Ciolek","5/4/1986"
"Soenke","Crooks","8/6/1986"
"Munir","Velasco","1/6/1986"
"Monique","Murrill","3/7/1986"
"Rosalyn","Cusworth","4/8/1986"
"Yuguang","Hebden","2/1/1986"
"Premal","Landherr","5/3/1986"
"Sachio","Conia","2/5/1986"
"Niranjan","Zucker","8/6/1986"
"Kiam","Christ","3/3/1986"
"Radhia","Kavanagh","1/4/1986"
"Zhenhua","Passino","6/1/1986"
"Mohan","Fargier","7/3/1986"
"Yuchang","Ginesta","4/1/1986"
"Marsja","Eugenio","4/5/1986"
"Vishwani","Kornatzky","3/8/1986"
"Eran","Hutton","4/5/1986"
"Chanjung","Xiaoshan","7/9/1986"
"Sanjay","Grandbois","5/2/1986"
"Anwar","Reinhard","5/3/1986"
"Odoardo","Munck","6/4/1986"
"Renny","Marletta","5/3/1986"
"Trygve","Chleq","6/5/1986"
"Uzi","Luon","4/9/1986"
"Marsha","Munck","6/8/1986"
"Guiseppe","Sherertz","5/8/1986"
"Bikash","Tiemann","5/9/1986"
"Yurij","Engberts","1/8/1986"
"Moriyoshi","Kumaresan","6/5/1986"
"Roded","Nollmann","4/3/1986"
"Hausi","Manders","8/4/1986"
"Yuichiro","Speckmann","9/8/1986"
"Herbert","Gulik","2/6/1986"
"Jungsoon","Domenig","9/7/1986"
"Kiyotoshi","Zaiane","1/2/1986"
"Becky","Jervis","9/8/1986"
"Olivera","Krybus","7/3/1986"
"Kannan","Shanbhogue","5/2/1986"
"Mechthild","Kawashimo","8/2/1986"
"Bikash","Pero","8/9/1986"
"Masaki","Takanami","5/3/1986"
"Somnath","Rosenbaum","5/2/1986"
"Ipke","Pews","3/2/1986"
"Wuxu","Liedekerke","2/1/1986"
"Berto","Suri","8/7/1986"
"Tomoyuki","Fritzsche","6/2/1986"
"Steve","Maquelin","1/3/1986"
"Kenroku","Muhling","9/2/1986"
"Odysseas","Maraist","9/4/1986"
"Tadahiko","Heystek","7/5/1986"
"Nigel","Biros","3/1/1986"
"Ymte","Pleszkun","9/8/1986"
"Mohan","Garrabrants","3/6/1986"
"Ute","Egerstedt","3/6/1986"
"Hisao","Naudin","3/4/1986"
"Bodh","Botman","9/7/1986"
"Peer","Andreotta","4/2/1986"
"Miquel","Cools","1/8/1986"
"Valeri","Heemskerk","4/8/1986"
"Masako","Molenkamp","5/9/1986"
"Debaprosad","Hatcliff","1/3/1986"
"Miquel","Kaiserswerth","4/6/1986"
"Gil","Frijda","3/3/1986"
"Yunming","Deyuan","4/8/1986"
"Weidon","Dalphin","1/3/1986"
"Yucel","Fujisaki","8/2/1986"
"Itzchak","Iwayama","3/3/1986"
"Uzi","Gente","9/1/1986"
"Duro","Zaccaria","2/8/1986"
"Vatsa","Yoshizawa","2/1/1986"
"Josyula","Luga","9/4/1986"
"Akeno","Schapiro","9/4/1986"
"Debaprosad","Kruskal","5/9/1986"
"Marie","Szemeredi","7/8/1986"
"Arif","DasSarma","8/8/1986"
"Arlette","Molenkamp","6/3/1986"
"Babette","Ananiadou","3/3/1986"
"Filipe","Bottner","1/1/1986"
"Bodh","McConalogue","6/7/1986"
"Sariel","Heijenga","3/6/1986"
"Gro","Czap","3/9/1986"
"Kazuhide","Uehara","1/9/1986"
"Sudhanshu","Beidas","6/8/1986"
"Eric","Stamatiou","1/9/1986"
"Arie","Rettelbach","2/2/1986"
"Gay","Ponthieu","3/1/1986"
"Weicheng","Gulik","5/2/1986"
"Xinyu","Akazan","6/7/1986"
"Sadun","Luby","1/6/1986"
"Yakkov","Soicher","6/4/1986"
"Chinya","Tsunoo","3/4/1986"
"Godehard","Rullman","2/8/1986"
"Rafael","Fetvedt","6/7/1986"
"Kitty","Perelgut","8/2/1986"
"Mingsen","Heusch","8/6/1986"
"Zengping","Polupanov","7/5/1986"
"Adil","Lambe","2/1/1986"
"Xumin","Velardi","3/7/1986"
"Shigeu","Emmerich","5/5/1986"
"Sanjiv","Mayerwieser","8/2/1986"
"Shigeu","Valette","5/6/1986"
"Dinah","Garigliano","7/1/1986"
"Vasilii","Fargier","9/2/1986"
"Phuoc","Saoudi","6/9/1986"
"Stevo","Boissier","7/8/1986"
"Basant","Portugali","9/2/1986"
"Abdulla","Gronowski","3/4/1986"
"Arco","Asser","2/3/1986"
"Jaber","Poupard","4/8/1986"
"Duke","Hofman","4/1/1986"
"Masanao","Marsiglia","8/1/1986"
"Zhanqiu","Buescher","1/1/1986"
"Mokhtar","Oxman","4/1/1986"
"Ohad","England","7/8/1986"
"Arfst","Kolinko","2/5/1986"
"Chinya","Trelles","9/7/1986"
"Krister","Zaiane","9/9/1986"
"Karlis","Berendt","8/4/1986"
"Dipayan","Setlzner","1/9/1986"
"Akeno","Mukaidono","5/3/1986"
"Lein","Basart","5/5/1986"
"Rosli","Pepe","7/7/1986"
"Adam","Wilfing","5/9/1986"
"Sungwon","Emmart","2/3/1986"
"Moto","Perelgut","8/2/1986"
"Serge","Ruther","3/9/1986"
"Tzu","Reistad","7/8/1986"
"Poornachandra","Schmittgen","2/7/1986"
"Georgy","Egerstedt","3/8/1986"
"Tristan","Raoux","1/2/1986"
"Arto","Gecseg","8/9/1986"
"Brewster","Ermel","9/9/1986"
"Rosli","Vickson","4/3/1986"
"Volkmar","Schade","9/7/1986"
"Mats","Quadeer","5/5/1986"
"Denis","Hempstead","8/5/1986"
"Danae","Borovoy","9/9/1986"
"Shahaf","Rosti","2/4/1986"
"Hideo","Harllee","7/1/1986"
"Alexius","Landherr","9/3/1986"
"Tuval","Mansanne","4/8/1986"
"Dayanand","Hitomi","7/4/1986"
"Toshimitsu","Arlazarov","1/5/1986"
"Hatim","Lund","8/9/1986"
"Yucai","Milicia","3/5/1986"
"Yakkov","Auyong","4/7/1986"
"Xinglin","Masand","6/2/1986"
"Zine","Baumann","5/3/1986"
"Breannda","Naudin","6/7/1986"
"Piyawadee","Champarnaud","8/1/1986"
"Yurij","Turnbull","8/7/1986"
"Marl","Katiyar","3/7/1986"
"Rafail","Leaver","2/2/1986"
"Mansur","Bellmore","4/1/1986"
"Sergi","Speek","5/5/1986"
"Idoia","Picht","2/6/1986"
"Alper","Baak","2/7/1986"
"Janche","Falco","9/8/1986"
"Moti","Crelier","1/7/1986"
"Zhiguo","Orsini","2/5/1986"
"Yakichi","Fasbender","8/9/1986"
"Tetsushi","Shobatake","5/4/1986"
"Tonia","Suri","6/5/1986"
"Aamer","Redmiles","4/9/1986"
"Xiahua","Binkley","4/6/1986"
"Naraig","Ventosa","4/4/1986"
"Vasiliy","Radivojevic","2/5/1986"
"Jahangir","Seuren","7/8/1986"
"Yannis","Giaccio","8/7/1986"
"Keiichiro","Pepe","3/4/1986"
"Arlette","Showalter","6/8/1986"
"Larisa","Peak","3/8/1986"
"Kousuke","Georgakopoulos","7/3/1986"
"Zissis","Openshaw","8/7/1986"
"Inderjeet","Malinowski","9/7/1986"
"Rosli","Syrzycki","2/3/1986"
"Arnd","Eastman","9/9/1986"
"Thodoros","Bage","1/8/1986"
"Francesca","Mandell","6/2/1986"
"Ranga","Sudbeck","1/4/1986"
"Abdelaziz","Schicker","4/6/1986"
"Yechiam","Veldwijk","5/7/1986"
"Katsuyuki","Gajiwala","3/3/1986"
"Holgard","Iwayama","5/4/1986"
"Xumin","Orsini","4/6/1986"
"Serap","Klyachko","6/4/1986"
"Ferdinand","Guardalben","9/8/1986"
"Turgut","Paludetto","1/8/1986"
"Aruna","Broder","8/1/1986"
"Yagil","Uchoa","7/5/1986"
"Kristin","Matteis","9/4/1986"
"Laurentiu","Crabtree","6/6/1986"
"Yuguang","Mandell","6/5/1986"
"Hideo","Cromarty","5/9/1986"
"Deniz","Ellozy","3/1/1986"
"Raimond","Riexinger","3/3/1986"
"Claude","Rossi","5/6/1986"
"Werner","Dulay","5/8/1986"
"Garnet","Chleq","5/6/1986"
"Ekawit","Pepe","5/4/1986"
"Phuoc","Wynblatt","4/6/1986"
"Shigeaki","Wilfing","2/3/1986"
"Basil","Eickenmeyer","5/6/1986"
"Kellyn","Zyda","9/2/1986"
"Fumiko","Sommer","6/2/1986"
"Stevo","Chachaty","3/4/1986"
"Tonia","Trystram","1/3/1986"
"Premal","Rissanen","4/5/1986"
"Ronghao","Alpin","6/3/1986"
"Phule","Siochi","3/5/1986"
"Tsuneo","Coombs","1/6/1986"
"Patricio","Shumilov","1/2/1986"
"Shiv","Pearson","8/4/1986"
"Boriana","Mikschl","6/3/1986"
"Moon","Olivero","8/1/1986"
"Xiping","Veevers","7/3/1986"
"Beshir","Pezzoli","7/7/1986"
"Hatem","Mattern","9/2/1986"
"Shushma","Prenel","3/5/1986"
"Ashish","Jording","3/5/1986"
"Arlette","Dahlbom","9/1/1986"
"Ramya","Laventhal","7/6/1986"
"Oldrich","Anandan","2/4/1986"
"Sadun","Bellmore","8/6/1986"
"Cullen","Besselaar","7/8/1986"
"Guadalupe","Lorch","7/1/1986"
"Kwangjo","Bridgland","2/9/1986"
"Tesuro","Siprelle","5/6/1986"
"Oksana","Birta","2/8/1986"
"Rasiah","Angot","2/8/1986"
"Yechiam","Fujisawa","7/9/1986"
"Shan","Nastansky","5/4/1986"
"Almudena","Hoogerwoord","9/6/1986"
"Shuky","Figueira","7/8/1986"
"Pranjal","Cangellaris","8/3/1986"
"JoAnne","Isaac","2/3/1986"
"Mats","Velardi","3/3/1986"
"Shigenori","Bisiani","3/1/1986"
"Hilari","Nishimukai","5/7/1986"
"Lene","Waleschkowski","8/8/1986"
"Chiradeep","Eiter","4/7/1986"
"Gaurav","Picco","1/4/1986"
"Monique","Hammerschmidt","2/7/1986"
"Ronnie","Babu","8/3/1986"
"Roselyn","Auria","4/1/1986"
"Gay","Gilg","2/3/1986"
"Yuriy","Claffy","4/1/1986"
"Alper","Improta","1/9/1986"
"Poornachandra","Rindone","1/4/1986"
"Younwoo","Onuegbe","8/8/1986"
"Fayez","Bruckman","3/8/1986"
"Adam","Langford","2/8/1986"
"Domenico","Qiwen","5/9/1986"
"Tooru","Schwabacher","8/6/1986"
"Mokhtar","Schaad","3/8/1986"
"Chuanti","Polajnar","6/2/1986"
"Adel","Pero","1/2/1986"
"Mrinalini","Ponthieu","6/7/1986"
"Claudi","Pehl","2/1/1986"
"Marin","Baaz","8/4/1986"
"Bedrich","Isard","6/7/1986"
"Geoff","Ranon","1/9/1986"
"Dung","Oppitz","4/6/1986"
"Sastry","Coullard","3/4/1986"
"Takahiro","Slutz","2/3/1986"
"Heon","Schwartzbauer","2/9/1986"
"Kotesh","Tetzlaff","5/4/1986"
"Akemi","Schlumberger","9/1/1986"
"Heejo","Perng","5/2/1986"
"Souichi","Wallrath","3/9/1986"
"Maren","Aseltine","4/4/1986"
"Jackson","Birdsall","3/9/1986"
"Elvia","Jarecki","8/3/1986"
"Yechezkel","Marsiglia","3/6/1986"
"Bernardo","Boreale","6/4/1986"
"Hirochika","Narlikar","8/6/1986"
"Hausi","Meriste","9/4/1986"
"Quingbo","Boissier","8/7/1986"
"Chikako","Fujisaki","8/8/1986"
